#,Posession: Complete release,Possesion: partial,Artist,Name,Funding,Founder,ID KvX,Artist2,Title,Label,Year,Country,Styles,KvX link,Discogs Link1,KvX link,Discogs Link2,Join,Alternate Files Found On Soulseek,Notes,Check zips (admin)
34,TRUE,FALSE,Koumbit,Koumbit,100%,MuzanJackson,194,Koumbit,Koumbit,Disques Debs International,1982,France,"Funk, Beguine, Zouk",https://kollektivx.com/music-legacy-projects/194-Koumbit-Koumbit,https://www.discogs.com/release/3985209,https://kollektivx.com/music-legacy-projects/194-Koumbit-Koumbit,https://www.discogs.com/release/3985209,KoumbitKoumbit,,,194
35,TRUE,FALSE,Ollie Red-eye,Checkin' Da Cuts,100%,OMOLOKO,196,Ollie Red-eye,Checkin' Da Cuts,Underground Classics,1994,UK,Garage House,https://kollektivx.com/music-legacy-projects/196-Ollie-Red-Eye-Checkin-Da-Cuts,https://www.discogs.com/release/4622696,https://kollektivx.com/music-legacy-projects/196-Ollie-Red-Eye-Checkin-Da-Cuts,https://www.discogs.com/release/4622696,Ollie Red-eyeCheckin' Da Cuts,,,196
36,TRUE,FALSE,Feladey,Band Boy,100%,Archiebishop,200,Feladey,Band Boy,Diamond Records (Nigeria),1993,Nigeria,"African, Highlife",https://kollektivx.com/music-legacy-projects/200-Feladey-Band-Boy,https://www.discogs.com/release/8139493,https://kollektivx.com/music-legacy-projects/200-Feladey-Band-Boy,https://www.discogs.com/release/8139493,FeladeyBand Boy,,,200
37,TRUE,FALSE,Various,The Rebel Presents...,100%,listentoMB,201,Various,The Rebel Presents...,Intrigue Records,1989,UK,"Downtempo, House, UK Street Soul",https://kollektivx.com/music-legacy-projects/201-Various-The-Rebel-Presents...,https://www.discogs.com/release/538504,https://kollektivx.com/music-legacy-projects/201-Various-The-Rebel-Presents...,https://www.discogs.com/release/538504,VariousThe Rebel Presents...,,,
38,TRUE,FALSE,Le Hostess,To Miami,100%,Armandosavatteri,203,Le Hostess,To Miami,Cetra,1980,Italy,"Disco, Theme",https://kollektivx.com/music-legacy-projects/203-Le-Hostess-To-Miami,https://www.discogs.com/release/2566156,https://kollektivx.com/music-legacy-projects/203-Le-Hostess-To-Miami,https://www.discogs.com/release/2566156,Le HostessTo Miami,,,203
39,TRUE,FALSE,Overlords Of The UFO,Imagine! EP,100%,Radhakrishnan,208,Overlords Of The UFO,Imagine! EP,Enlightenment Records,1994,USA,"Techno, Trance",https://kollektivx.com/music-legacy-projects/208-Overlords-Of-The-Ufo-Imagine!-Ep,https://www.discogs.com/release/246530,https://kollektivx.com/music-legacy-projects/208-Overlords-Of-The-Ufo-Imagine!-Ep,https://www.discogs.com/release/246530,Overlords Of The UFOImagine! EP,,,
40,TRUE,FALSE,Om (3),Older Brother From The Rock,100%,madeinuk,220,,,Btech,1991,UK,"Breakbeat, Dub, Techno",https://kollektivx.com/music-legacy-projects/220-Om-Older-Brother-From-The-Rock,https://www.discogs.com/release/252430,https://kollektivx.com/music-legacy-projects/220-Om-Older-Brother-From-The-Rock,https://www.discogs.com/release/252430,Om (3)Older Brother From The Rock,,,220
41,TRUE,FALSE,Nuova Sensacion,In Linea,100%,TopSecret,225,Nuova Sensacion,In Linea,Muvicom,1986,Italy,Italo-Disco,https://kollektivx.com/music-legacy-projects/225-Nuova-Sensacion-In-Linea,https://www.discogs.com/release/3272307,https://kollektivx.com/music-legacy-projects/225-Nuova-Sensacion-In-Linea,https://www.discogs.com/release/3272307,Nuova SensacionIn Linea,,,225
2254,FALSE,TRUE,Ciao Lee Tong,Hi Hi Hi Felopa !,100%,?,230,,,Music Institute Records,1993,US,House,https://kollektivx.com/music-legacy-projects/230,https://www.discogs.com/release/2139260-Ciao-Lee-Tong-Hi-Hi-Hi-Falopa-,https://kollektivx.com/music-legacy-projects/230,https://www.discogs.com/release/2139260-Ciao-Lee-Tong-Hi-Hi-Hi-Falopa-,Ciao Lee TongHi Hi Hi Felopa !,,,
42,TRUE,FALSE,Bizärre,Passion,100%,Radhakrishnan,233,Bizärre,Passion,Niteshift Records,,UK,"Deep House, Electro, Downtempo, House",https://kollektivx.com/music-legacy-projects/233-Bizärre-Passion,https://www.discogs.com/release/1943283,https://kollektivx.com/music-legacy-projects/233-Bizärre-Passion,https://www.discogs.com/release/1943283,BizärrePassion,,,233
43,TRUE,FALSE,Heavy (17),Thula Unga Batsheli,100%,OMOLOKO,245,,,X-Tra Dimensions,2007,South Africa,Kwaito,https://kollektivx.com/music-legacy-projects/245-Heavy-Thula-Unga-Batsheli,https://www.discogs.com/release/8956502,https://kollektivx.com/music-legacy-projects/245-Heavy-Thula-Unga-Batsheli,https://www.discogs.com/release/8956502,Heavy (17)Thula Unga Batsheli,,,
44,TRUE,FALSE,D.H. Pinhas,Babaji,100%,GFSF,249,D.H. Pinhas,Babaji,Palmares Records,1992,Italy,"House, Italo House",https://kollektivx.com/music-legacy-projects/249-D.H.-Pinhas-Babaji,https://www.discogs.com/release/42600,https://kollektivx.com/music-legacy-projects/249-D.H.-Pinhas-Babaji,https://www.discogs.com/release/42600,D.H. PinhasBabaji,,,
45,TRUE,FALSE,Antonio Ocasio,Azande 'Africa Nueva' / Kieleeks Groove / Rhumba En Paraiso,100%,Omaisrayan,254,Antonio Ocasio,Azande 'Africa Nueva' / Kieleeks Groove / Rhumba En Paraiso,Tribal Winds,1999,USA,Deep House,https://kollektivx.com/music-legacy-projects/254-Antonio-Ocasio-Azande-Africa-Nueva-Kieleeks-Groove-Rhumba-En-Paraiso,https://www.discogs.com/release/23504,https://kollektivx.com/music-legacy-projects/254-Antonio-Ocasio-Azande-Africa-Nueva-Kieleeks-Groove-Rhumba-En-Paraiso,https://www.discogs.com/release/23504,Antonio OcasioAzande 'Africa Nueva' / Kieleeks Groove / Rhumba En Paraiso,,,254
46,TRUE,FALSE,Red Seal,Upturn,100%,Otis,265,Red Seal,Upturn,Robs Records,1995,UK,"Progressive House, Electro, Breaks",https://kollektivx.com/music-legacy-projects/265-Red-Seal-Upturn,https://www.discogs.com/release/39462,https://kollektivx.com/music-legacy-projects/265-Red-Seal-Upturn,https://www.discogs.com/release/39462,Red SealUpturn,,,
47,TRUE,FALSE,Luia,Down At The Disco,100%,BichoRaro,268,Luia,Down At The Disco,Mercury,1983,Italy,Italo-Disco,https://kollektivx.com/music-legacy-projects/268-Luia-Down-At-The-Disco,https://www.discogs.com/release/2225064,https://kollektivx.com/music-legacy-projects/268-Luia-Down-At-The-Disco,https://www.discogs.com/release/2225064,LuiaDown At The Disco,,,268
